formula,charge,in_protic,in_aprotic,in_IL,IL_comp,MS_comp,in_aq,in_rpmd
C4BO8-,-1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
BF4-,-1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
BH4-,-1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
CH3O-,-1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
C2H5O-,-1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
C3H7O-,-1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
C2H4O2-2,-2,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
C4H6F3O2-,-1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Br-,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CF3O3S-,-1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
CHO3-,-1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
C2H3O2-,-1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
CO3-2,-2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
C2F6NO4S2-,-1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
C9H18NO-,-1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
Cl-,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ClO4-,-1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
F2NO4S2-,-1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
F2O2P-,-1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
AsF6-,-1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
F6P-,-1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
OH-,-1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
F-,-1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
I-,-1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
NO3-,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
O4P-3,-3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
C6H2O4-2,-2,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
O4S-2,-2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
